date,Case_Temperature,inputpower
2022-01-07 01:07:37,33.2,4.5346
2022-01-07 01:07:38,33.0,5.1824
2022-01-07 01:07:39,33.0,5.1824
2022-01-07 01:07:40,33.0,5.1824
2022-01-07 01:07:41,33.2,6.7998
2022-01-07 01:07:42,33.2,6.7998
2022-01-07 01:07:43,33.2,6.7998
2022-01-07 01:07:44,33.2,3.8892
2022-01-07 01:07:45,33.2,3.8892
2022-01-07 01:07:46,33.2,3.8892
2022-01-07 01:07:47,33.2,3.8868
2022-01-07 01:07:48,33.2,3.8868
2022-01-07 01:07:49,33.2,3.8868
2022-01-07 01:07:50,33.1,5.508
2022-01-07 01:07:51,33.1,5.508
2022-01-07 01:07:52,33.1,5.508
2022-01-07 01:07:53,33.1,4.2172
2022-01-07 01:07:54,33.1,4.2172
2022-01-07 01:07:55,33.1,4.2172
2022-01-07 01:07:56,33.3,6.8019
2022-01-07 01:07:57,33.3,6.8019
2022-01-07 01:07:58,33.3,6.8019
2022-01-07 01:07:59,33.1,3.238
2022-01-07 01:08:00,33.1,3.238
2022-01-07 01:08:01,33.1,3.238
2022-01-07 01:08:02,33.2,7.128
2022-01-07 01:08:03,33.2,7.128
2022-01-07 01:08:04,33.2,7.128
2022-01-07 01:08:05,33.1,3.8904
2022-01-07 01:08:06,33.1,3.8904
2022-01-07 01:08:07,33.1,3.8904
2022-01-07 01:08:08,33.2,4.86
2022-01-07 01:08:09,33.2,4.86
2022-01-07 01:08:10,33.2,4.86
2022-01-07 01:08:11,33.1,4.857
2022-01-07 01:08:12,33.1,4.857
2022-01-07 01:08:13,33.1,4.857
2022-01-07 01:08:14,33.1,4.5374
2022-01-07 01:08:15,33.1,4.5374
2022-01-07 01:08:16,33.1,4.5374
2022-01-07 01:08:17,33.0,5.1872
2022-01-07 01:08:18,33.0,5.1872
2022-01-07 01:08:19,33.0,5.1872
2022-01-07 01:08:20,33.0,2.5912
2022-01-07 01:08:21,33.0,2.5912
2022-01-07 01:08:22,33.0,2.5912
2022-01-07 01:08:23,33.1,3.8892
2022-01-07 01:08:24,33.1,3.8892
2022-01-07 01:08:25,33.1,3.8892
2022-01-07 01:08:26,33.2,3.564
2022-01-07 01:08:27,33.2,3.564
2022-01-07 01:08:28,33.2,3.564
2022-01-07 01:08:29,33.2,3.8904
2022-01-07 01:08:30,33.2,3.8904
